,B+1,B+3,Be+0,C+2,C+4,F+5,F+7,N+3,N+5,Ne+0,Ne+6,Ne+8,O+4,O+6
PBEX,-24.20179594553523,-21.935635519998183,-14.545009310529244,-36.36526937514711,-32.297333586130556,-87.86882621210601,-75.38266918742744,-51.03172425817811,-44.65908457541294,-128.51982479242665,-110.03849571451596,-93.74448443222565,-68.19979532998144,-59.020865781802335
PBEh1PBE,-24.305522857600106,-21.997886988261605,-14.63958431774506,-36.47557897512227,-32.36406162791298,-87.9930676008825,-75.46203454909839,-51.147335489933006,-44.730117985332924,-128.88371088719543,-110.16648088663081,-93.82794258207107,-68.31995190286196,-59.09611146468505
PBEsol,-24.162963944969185,-21.869900941061154,-14.532264190359909,-36.297472309483936,-32.205945570555336,-87.70712442746763,-75.21312531941894,-50.93344870492959,-44.54178548290491,-128.52542644044598,-109.84433824917613,-93.54869449510637,-68.07011384391564,-58.877496635541355
PKZB,-24.314267997121668,-22.008010193167603,-14.650254941009875,-36.482157898684186,-32.37475163939716,-87.9928838530938,-75.4742695836704,-51.151675301609494,-44.741340813886495,-128.7603839284218,-110.16402625349369,-93.8406615764492,-68.32203532052357,-59.107834415975745
PW91,-24.31597665001746,-21.999592959304266,-14.647865042879229,-36.48806913710029,-32.36486349311816,-88.01074721144104,-75.45943449359939,-51.1617010045391,-44.729883395869386,-128.94626398129316,-110.18564416713518,-93.82404162044904,-68.33604523842433,-59.094724393043826
PW91C,-24.34071549620448,-22.04185773733979,-14.667736955929774,-36.51749938099789,-32.4184442888388,-88.054116778172,-75.54687423831827,-51.19578683663878,-44.79475983849092,-128.9297795928463,-110.23364407904485,-93.92275413016098,-68.374783083604,-59.170885737691634
PW91LYP,-24.320582903185848,-21.99441378194119,-14.64937491149457,-36.49433751162663,-32.35828123164482,-88.01787611195792,-75.44935219944816,-51.1687417519609,-44.722020380605144,-128.95142109758314,-110.19242179090234,-93.81299473097987,-68.3433028866859,-59.085698591653596
PW91P86,-24.314283604007592,-21.99706978675424,-14.647015376394757,-36.48714893715737,-32.366116116245635,-88.01901840158679,-75.47573427057843,-51.162850783122906,-44.735720224068054,-128.9530839022931,-110.198537584783,-93.84588667812926,-68.34033021563718,-59.105643311841874
PW91PBE,-24.305098170535818,-21.990741802433615,-14.63910708911558,-36.4752890792928,-32.354805889947,-87.99321934290012,-75.44647161224849,-51.14719806936602,-44.71875590233199,-128.9148547302259,-110.1667704306571,-93.81027778622789,-68.31996774198656,-59.08263525891837
PW91PZ81,-24.46539561452761,-22.106243620726772,-14.778114651983254,-36.653244364358805,-32.48014710624843,-88.21158464125045,-75.59448290014545,-51.340280346539565,-44.85259976982031,-129.30590404707164,-110.39601515073872,-93.9643265620989,-68.52636750679456,-59.22396305133441
PW91VWN,-24.466567161643255,-22.107810803471054,-14.779130083605088,-36.65466097551401,-32.481668599620924,-88.21374868982998,-75.5956979746501,-51.34200072978541,-44.85403254480236,-129.31211486849855,-110.39829002376959,-93.96542935939183,-68.5283536063591,-59.22529010427649
PW91X,-24.213506966949367,-21.94440289370287,-14.554211797486195,-36.379550623739775,-32.30796349120956,-87.89085260897102,-75.39888594997936,-51.04859040435805,-44.67157744932214,-128.56856845172763,-110.0631010841498,-93.76256369279436,-68.21923871758395,-59.03522112411025
PZ81,-24.48958836036061,-22.148386100310702,-14.797221951295551,-36.6822128873516,-32.53362683162586,-88.25459912000284,-75.6818562537228,-51.37394777787934,-44.91739013435506,-129.28739625465622,-110.44368660376331,-94.06297945534888,-68.5647198078699,-59.3000494130586
R2SCAN,-24.316019723034305,-22.03314240346002,-14.648957265528548,-36.48705587896791,-32.408560965378236,-88.00676993175843,-75.53429658025215,-51.15968001449403,-44.78387025252608,-128.9345461357686,-110.180650696944,-93.90944829321606,-68.33302984148555,-59.15910718488628
